127.0.0.1 - - [25/Sep/2024:14:15:20 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/ HTTP/1.1" 200 42190
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/apex-charts/apex-charts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/fonts/boxicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/css/theme-default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/js/helpers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/js/config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/avatars/1.png HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/illustrations/man-with-laptop.png HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/chart-success.png HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/wallet-info.png HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/jquery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/popper/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/libs/apex-charts/apexcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/vendor/js/menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/paypal.png HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/cc-primary.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /DonationInUniversity/assets/js/dashboards-analytics.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/wallet.png HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [25/Sep/2024:14:15:22 +0700] "GET /assets/img/icons/unicons/chart.png HTTP/1.1" 404 724
